date,merchant,description,amount,category,is_anomaly
2026-03-26,UBER,UBER PURCHASE,752.34,Transport,0
2026-03-27,PAYPAL *SPOTIFY,PAYPAL *SPOTIFY PURCHASE,315.59,Entertainment,0
2026-03-27,ADOBE SC,ADOBE SC PURCHASE,219.99,Subscriptions,0
2026-03-28,ZOMATO,ZOMATO PURCHASE,398.47,Dining,0
2026-04-01,EMPLOYER PAYROLL,EMPLOYER PAYROLL PURCHASE,32781.63,Income,0
2026-04-01,MORSUP543,MORSUP543 PURCHASE,881.3,Groceries,0
2026-04-01,DOMINOS,DOMINOS PURCHASE,1.0,Dining,0
2026-04-01,LAKEVIEW 0210,LAKEVIEW 0210 PURCHASE,18158.88,Rent,0
2026-04-04,NETFLIX 029384,NETFLIX 029384 PURCHASE,242.67,Entertainment,0
2026-04-04,TST* BARBEQUENA,TST* BARBEQUENA PURCHASE,322.58,Dining,0
2026-04-04,UBER,UBER PURCHASE,1.0,Transport,0
2026-04-04,AMAZON,AMAZON PURCHASE,525.74,Shopping,0
2026-04-05,POS DEBIT DMART,POS DEBIT DMART PURCHASE,890.02,Groceries,0
2026-04-05,OLA,OLA PURCHASE,358.57,Transport,0
2026-04-05,DOMINO'S #1602,DOMINO'S #1602 PURCHASE,390.03,Dining,0
2026-04-05,BSEELE922,BSEELE922 PURCHASE,2076.05,Utilities,0
2026-04-07,PAYPAL *MORESUPERM,PAYPAL *MORESUPERM PURCHASE,808.38,Groceries,0
2026-04-07,BARBEQUE DELHI NCR,BARBEQUE DELHI NCR PURCHASE,281.54,Dining,0
2026-04-07,UBER,UBER PURCHASE,763.35,Transport,0
2026-04-09,IRCTC SC,IRCTC SC PURCHASE,98.15,Transport,0
2026-04-10,NATURE'S BASKET,NATURE'S BASKET PURCHASE,1303.07,Groceries,0
2026-04-11,DMART #7549,DMART #7549 PURCHASE,363.99,Groceries,0
2026-04-12,ZOMATO 029384,ZOMATO 029384 PURCHASE,296.18,Dining,0
2026-04-12,CAFECOFF 0210,CAFECOFF 0210 PURCHASE,527.21,Dining,0
2026-04-13,SWIGGY,SWIGGY PURCHASE,252.66,Dining,0
2026-04-13,CAFECOFF BANGLR,CAFECOFF BANGLR PURCHASE,3.83,Dining,0
2026-04-14,EMPLOYER PAYROLL,EMPLOYER PAYROLL PURCHASE,35275.04,Income,0
2026-04-15,ZOMATO PUNE MH,ZOMATO PUNE MH PURCHASE,263.27,Dining,0
2026-04-15,UBE704,UBE704 PURCHASE,570.66,Transport,0
2026-04-15,AMAZON,AMAZON PURCHASE,1267.66,Shopping,0
2026-04-16,SPO477,SPO477 PURCHASE,271.98,Entertainment,0
2026-04-17,CULT.FIT MEMBERSHIP #3489,CULT.FIT MEMBERSHIP #3489 PURCHASE,231.3,Subscriptions,0
2026-04-18,MORE SUPERMARKET #6171,MORE SUPERMARKET #6171 PURCHASE,1145.87,Groceries,0
2026-04-18,AMA528,AMA528 PURCHASE,2048.42,Shopping,0
2026-04-18,ADOBE #1589,ADOBE #1589 PURCHASE,189.05,Subscriptions,0
2026-04-18,BIGBASKE MUMBAI,BIGBASKE MUMBAI PURCHASE,588.63,Groceries,0
2026-04-19,DMART DELHI NCR,DMART DELHI NCR PURCHASE,802.56,Groceries,0
2026-04-20,ZOMATO PUNE MH,ZOMATO PUNE MH PURCHASE,638.87,Dining,0
2026-04-20,IRCTC DELHI NCR,IRCTC DELHI NCR PURCHASE,132.36,Transport,0
2026-04-21,TST* BIGBASKET,TST* BIGBASKET PURCHASE,906.56,Groceries,0
2026-04-21,LIFESTYLE,LIFESTYLE PURCHASE,276.06,Shopping,0
2026-04-22,NATURE'S BASKET #2083,NATURE'S BASKET #2083 PURCHASE,1265.81,Groceries,0
2026-04-23,PVRCINEM 029384,PVRCINEM 029384 PURCHASE,242.57,Entertainment,0
2026-04-24,BIGBASKET,BIGBASKET PURCHASE,1105.17,Groceries,0
2026-04-25,MORSUP581,MORSUP581 PURCHASE,1116.79,Groceries,0
2026-04-25,CKCD BOOKMYSHOW,CKCD BOOKMYSHOW PURCHASE,397.83,Entertainment,0
2026-04-26,LIFESTYLE,LIFESTYLE PURCHASE,1564.91,Shopping,0
2026-04-26,APOLLO SC,APOLLO SC PURCHASE,765.52,Healthcare,0
2026-04-27,BARBEQUE DELHI NCR,BARBEQUE DELHI NCR PURCHASE,616.89,Dining,0
2026-04-27,MYN254,MYN254 PURCHASE,267.95,Shopping,0
2026-05-01,LAKEVIEW RESIDENCY #8661,LAKEVIEW RESIDENCY #8661 PURCHASE,17193.89,Rent,0
2026-05-01,CAFECOFFEEDAY,CAFECOFFEEDAY PURCHASE,574.54,Dining,0
2026-05-01,TST* BARBEQUENA,TST* BARBEQUENA PURCHASE,509.28,Dining,0
2026-05-01,EMPLOYER PAYROLL,EMPLOYER PAYROLL PURCHASE,34977.04,Income,0
2026-05-02,ZOMATO SC,ZOMATO SC PURCHASE,17.06,Dining,0
2026-05-02,OLA BANGLR,OLA BANGLR PURCHASE,191.91,Transport,0
2026-05-03,TST* RELIANCEFR,TST* RELIANCEFR PURCHASE,1040.19,Groceries,0
2026-05-03,SWI648,SWI648 PURCHASE,348.76,Dining,0
2026-05-04,TST* CAFECOFFEE,TST* CAFECOFFEE PURCHASE,447.53,Dining,0
2026-05-05,NETFLI SC,NETFLI SC PURCHASE,236.73,Entertainment,0
2026-05-06,INDIAN OIL #9363,INDIAN OIL #9363 PURCHASE,257.31,Transport,0
2026-05-06,OLA,OLA PURCHASE,240.65,Transport,0
2026-05-08,OLA DELHI NCR,OLA DELHI NCR PURCHASE,450.73,Transport,0
2026-05-09,OLA SC,OLA SC PURCHASE,261.94,Transport,0
2026-05-10,ZOMATO #817,ZOMATO #817 PURCHASE,761.02,Dining,0
2026-05-10,MYNTRA SC,MYNTRA SC PURCHASE,748.57,Shopping,0
2026-05-11,MYNTRA MUMBAI,MYNTRA MUMBAI PURCHASE,437.02,Shopping,0
2026-05-11,ZOMATO,ZOMATO PURCHASE,499.47,Dining,0
2026-05-11,CKCD AIRTELBROA,CKCD AIRTELBROA PURCHASE,1227.58,Utilities,0
2026-05-12,UBER,UBER PURCHASE,193.6,Transport,0
2026-05-13,AMA629,AMA629 PURCHASE,1169.54,Shopping,0
2026-05-14,FLI364,FLI364 PURCHASE,246.24,Shopping,0
2026-05-14,EMPLOYER PAYROLL #3724,EMPLOYER PAYROLL #3724 PURCHASE,35868.94,Income,0
2026-05-15,IRCTC,IRCTC PURCHASE,517.85,Transport,0
2026-05-16,ZOMATO,ZOMATO PURCHASE,347.06,Dining,0
2026-05-16,UBE675,UBE675 PURCHASE,697.25,Transport,0
2026-05-16,IRCTC SC,IRCTC SC PURCHASE,755.13,Transport,0
2026-05-17,DOMINO'S,DOMINO'S PURCHASE,293.72,Dining,0
2026-05-17,CAFE C SC,CAFE C SC PURCHASE,430.62,Dining,0
2026-05-17,CAFE COFFEE DAY,CAFE COFFEE DAY PURCHASE,325.42,Dining,0
2026-05-17,DOMINOS MUMBAI,DOMINOS MUMBAI PURCHASE,286.13,Dining,0
2026-05-18,UBER 029384,UBER 029384 PURCHASE,558.23,Transport,0
2026-05-18,SPO792,SPO792 PURCHASE,358.85,Entertainment,0
2026-05-19,AMAZON MUMBAI,AMAZON MUMBAI PURCHASE,1503.09,Shopping,0
2026-05-19,TST* IRCTC,TST* IRCTC PURCHASE,244.21,Transport,0
2026-05-20,FLIPKART,FLIPKART PURCHASE,254.0,Shopping,0
2026-05-21,NETFLIX,NETFLIX PURCHASE,486.29,Entertainment,0
2026-05-21,RELIANCE PUNE MH,RELIANCE PUNE MH PURCHASE,1610.13,Groceries,0
2026-05-21,DOMINO'S #6216,DOMINO'S #6216 PURCHASE,334.94,Dining,0
2026-05-21,AIRBRO354,AIRBRO354 PURCHASE,1551.24,Utilities,0
2026-05-21,ZOMATO MUMBAI,ZOMATO MUMBAI PURCHASE,260.66,Dining,0
2026-05-22,BSES ELECTRICITY,BSES ELECTRICITY PURCHASE,1836.26,Utilities,0
2026-05-22,PAYPAL *SWIGGY,PAYPAL *SWIGGY PURCHASE,61.76,Dining,0
2026-05-22,NETFLI SC,NETFLI SC PURCHASE,601.76,Entertainment,0
2026-05-23,UBER,UBER PURCHASE,261.13,Transport,0
2026-05-23,PVR CI SC,PVR CI SC PURCHASE,1.0,Entertainment,0
2026-05-23,POS DEBIT LIFESTYLE,POS DEBIT LIFESTYLE PURCHASE,1077.98,Shopping,0
2026-05-24,NATURESB BANGLR,NATURESB BANGLR PURCHASE,146.46,Groceries,0
2026-05-26,POS DEBIT AMAZON,POS DEBIT AMAZON PURCHASE,1878.68,Shopping,0
2026-05-26,FLI533,FLI533 PURCHASE,1301.04,Shopping,0
2026-05-26,SWI850,SWI850 PURCHASE,129.75,Dining,0
2026-05-26,ZOMATO,ZOMATO PURCHASE,291.86,Dining,0
2026-05-27,POS DEBIT MORESUPERM,POS DEBIT MORESUPERM PURCHASE,861.66,Groceries,0
2026-05-28,LIFESTYLE,LIFESTYLE PURCHASE,1018.54,Shopping,0
2026-05-28,PVR CINEMAS #2362,PVR CINEMAS #2362 PURCHASE,303.32,Entertainment,0
2026-06-01,MAXHEALTHCARE,MAXHEALTHCARE PURCHASE,725.75,Healthcare,0
2026-06-01,CKCD SHANTIPROP,CKCD SHANTIPROP PURCHASE,18472.69,Rent,0
2026-06-01,TST* EMPLOYERPA,TST* EMPLOYERPA PURCHASE,35179.37,Income,0
2026-06-02,LIFESTYL DELHI NCR,LIFESTYL DELHI NCR PURCHASE,796.16,Shopping,0
2026-06-03,MUNICIPAL WATER BOARD #7583,MUNICIPAL WATER BOARD #7583 PURCHASE,1430.79,Utilities,0
2026-06-03,FLI943,FLI943 PURCHASE,1856.7,Shopping,0
2026-06-07,MAXHEALTHCARE,MAXHEALTHCARE PURCHASE,1.0,Healthcare,0
2026-06-07,FLIPKART,FLIPKART PURCHASE,1.0,Shopping,0
2026-06-07,UBER #1072,UBER #1072 PURCHASE,200.43,Transport,0
2026-06-08,MORSUP876,MORSUP876 PURCHASE,992.35,Groceries,0
2026-06-09,INDIANOI DELHI NCR,INDIANOI DELHI NCR PURCHASE,217.27,Transport,0
2026-06-09,IRCTC 029384,IRCTC 029384 PURCHASE,270.6,Transport,0
2026-06-10,BOO821,BOO821 PURCHASE,329.73,Entertainment,0
2026-06-10,LIFESTYLE,LIFESTYLE PURCHASE,305.16,Shopping,0
2026-06-12,IRCTC MUMBAI,IRCTC MUMBAI PURCHASE,395.89,Transport,0
2026-06-12,CULMEM634,CULMEM634 PURCHASE,235.59,Subscriptions,0
2026-06-12,ADOBE 0210,ADOBE 0210 PURCHASE,256.45,Subscriptions,0
2026-06-13,POS DEBIT MEDPLUS,POS DEBIT MEDPLUS PURCHASE,1183.8,Healthcare,0
2026-06-13,BSES ELECTRICITY #7720,BSES ELECTRICITY #7720 PURCHASE,1238.95,Utilities,0
2026-06-13,DOM291,DOM291 PURCHASE,186.9,Dining,0
2026-06-14,EMPPAY109,EMPPAY109 PURCHASE,33540.4,Income,0
2026-06-15,ADOBE #1696,ADOBE #1696 PURCHASE,156.07,Subscriptions,0
2026-06-16,MYNTRA,MYNTRA PURCHASE,391.82,Shopping,0
2026-06-16,PAYPAL *DMART,PAYPAL *DMART PURCHASE,1346.13,Groceries,0
2026-06-19,LIFESTYLE,LIFESTYLE PURCHASE,809.97,Shopping,0
2026-06-20,LIFESTYLE,LIFESTYLE PURCHASE,975.35,Shopping,0
2026-06-20,UBER,UBER PURCHASE,55.17,Transport,0
2026-06-20,MORESUPERMARKET,MORESUPERMARKET PURCHASE,235.55,Groceries,0
2026-06-20,CULMEM772,CULMEM772 PURCHASE,52.45,Subscriptions,0
2026-06-21,BARBEQ SC,BARBEQ SC PURCHASE,254.87,Dining,0
2026-06-21,TST* SPOTIFY,TST* SPOTIFY PURCHASE,260.56,Entertainment,0
2026-06-21,UBER #2274,UBER #2274 PURCHASE,391.72,Transport,0
2026-06-23,RELIANCE FRESH,RELIANCE FRESH PURCHASE,844.99,Groceries,0
2026-06-23,AMAZON SC,AMAZON SC PURCHASE,242.23,Shopping,0
2026-06-23,NETFLIX 0210,NETFLIX 0210 PURCHASE,402.41,Entertainment,0
2026-06-24,SQ *SPOTIFY,SQ *SPOTIFY PURCHASE,142.53,Entertainment,0
2026-06-25,MYN526,MYN526 PURCHASE,35.97,Shopping,0
2026-06-25,INDOIL867,INDOIL867 PURCHASE,455.95,Transport,0
2026-06-25,INDIAN OIL #7611,INDIAN OIL #7611 PURCHASE,697.1,Transport,0
2026-06-26,MYNTRA PUNE MH,MYNTRA PUNE MH PURCHASE,909.35,Shopping,0
2026-06-26,OLA BANGLR,OLA BANGLR PURCHASE,355.76,Transport,0
2026-06-27,UBE245,UBE245 PURCHASE,848.64,Transport,0
2026-06-27,INDIANOIL,INDIANOIL PURCHASE,21.06,Transport,0
